"type","Market_Ticker","Market_Id","Original_Date","Price_In_Cents","Amount_In_Dollars","Fee_In_Dollars","Traded_Time","Direction","Order_Type"
"Trade","KXNHLGAME-25OCT30NJSJ-NJ","d74fcc4c-6360-43c4-b302-d0c8f5556c1b","2025-10-31T03:44:08.194Z","4","300","0.21","8:44pm PDT","No","Maker"
"Trade","KXNHLGAME-25OCT30NJSJ-NJ","d74fcc4c-6360-43c4-b302-d0c8f5556c1b","2025-10-31T02:54:59.313Z","31","300","4.50","7:54pm PDT","No","Taker"
"Trade","KXNHLGAME-25OCT30NJSJ-NJ","d74fcc4c-6360-43c4-b302-d0c8f5556c1b","2025-10-31T02:49:18.054Z","31","66","0.25","7:49pm PDT","No","Maker"
"Trade","KXNHLGAME-25OCT30NJSJ-NJ","d74fcc4c-6360-43c4-b302-d0c8f5556c1b","2025-10-31T02:49:16.866Z","30","17","0.25","7:49pm PDT","No","Taker"
"Trade","KXNHLGAME-25OCT30NJSJ-NJ","d74fcc4c-6360-43c4-b302-d0c8f5556c1b","2025-10-31T02:40:06.288Z","18","50","0.13","7:40pm PDT","Yes","Maker"
"Trade","KXNHLGAME-25OCT30NJSJ-NJ","d74fcc4c-6360-43c4-b302-d0c8f5556c1b","2025-10-31T02:40:01.029Z","18","16","0.05","7:40pm PDT","Yes","Maker"
"Trade","KXNHLGAME-25OCT30NJSJ-NJ","d74fcc4c-6360-43c4-b302-d0c8f5556c1b","2025-10-31T02:37:19.813Z","37","300","1.23","7:37pm PDT","No","Maker"
"Trade","KXNHLGAME-25OCT30NJSJ-NJ","d74fcc4c-6360-43c4-b302-d0c8f5556c1b","2025-10-31T02:33:41.824Z","32","674","2.57","7:33pm PDT","Yes","Maker"
"Trade","KXNHLGAME-25OCT30NJSJ-NJ","d74fcc4c-6360-43c4-b302-d0c8f5556c1b","2025-10-31T02:33:31.463Z","35","300","4.78","7:33pm PDT","Yes","Taker"
"Trade","KXNHLGAME-25OCT30NJSJ-NJ","d74fcc4c-6360-43c4-b302-d0c8f5556c1b","2025-10-31T02:32:34.917Z","32","5","0.02","7:32pm PDT","Yes","Maker"
"Trade","KXNHLGAME-25OCT30NJSJ-NJ","d74fcc4c-6360-43c4-b302-d0c8f5556c1b","2025-10-31T02:32:25.637Z","38","227","0.94","7:32pm PDT","Yes","Maker"
"Trade","KXNHLGAME-25OCT30NJSJ-NJ","d74fcc4c-6360-43c4-b302-d0c8f5556c1b","2025-10-31T02:32:10.320Z","49","31","0.14","7:32pm PDT","No","Maker"
"Trade","KXNHLGAME-25OCT30NJSJ-NJ","d74fcc4c-6360-43c4-b302-d0c8f5556c1b","2025-10-31T02:32:08.908Z","49","15","0.07","7:32pm PDT","No","Maker"
"Trade","KXNHLGAME-25OCT30NJSJ-NJ","d74fcc4c-6360-43c4-b302-d0c8f5556c1b","2025-10-31T02:32:05.468Z","49","5","0.03","7:32pm PDT","No","Maker"
"Trade","KXNHLGAME-25OCT30NJSJ-NJ","d74fcc4c-6360-43c4-b302-d0c8f5556c1b","2025-10-31T02:31:45.727Z","38","1","0.01","7:31pm PDT","Yes","Maker"
"Trade","KXNHLGAME-25OCT30NJSJ-NJ","d74fcc4c-6360-43c4-b302-d0c8f5556c1b","2025-10-31T02:31:36.390Z","42","51","0.22","7:31pm PDT","Yes","Maker"
"Trade","KXNHLGAME-25OCT30NJSJ-NJ","d74fcc4c-6360-43c4-b302-d0c8f5556c1b","2025-10-31T02:31:30.049Z","45","5","0.03","7:31pm PDT","Yes","Maker"
"Trade","KXNHLGAME-25OCT30NJSJ-NJ","d74fcc4c-6360-43c4-b302-d0c8f5556c1b","2025-10-31T02:31:29.331Z","49","5","0.03","7:31pm PDT","Yes","Maker"
"Trade","KXNHLGAME-25OCT30NYREDM-EDM","9889fc7f-c258-41c4-8cd8-5bc99eca4e7e","2025-10-31T01:35:51.590Z","61","102","1.70","6:35pm PDT","Yes","Taker"
"Trade","KXNHLGAME-25OCT30NYREDM-EDM","9889fc7f-c258-41c4-8cd8-5bc99eca4e7e","2025-10-31T01:31:03.935Z","59","28","0.48","6:31pm PDT","No","Taker"
"Trade","KXNHLGAME-25OCT30NYREDM-EDM","9889fc7f-c258-41c4-8cd8-5bc99eca4e7e","2025-10-31T01:31:03.935Z","60","23","0.39","6:31pm PDT","No","Taker"
"Trade","KXNHLGAME-25OCT30NYREDM-EDM","9889fc7f-c258-41c4-8cd8-5bc99eca4e7e","2025-10-31T01:30:14.041Z","49","51","0.23","6:30pm PDT","No","Maker"
"Trade","KXNHLGAME-25OCT30NYREDM-EDM","9889fc7f-c258-41c4-8cd8-5bc99eca4e7e","2025-10-31T01:30:14.041Z","49","51","0.23","6:30pm PDT","No","Maker"
"Trade","KXNHLGAME-25OCT30NYREDM-EDM","9889fc7f-c258-41c4-8cd8-5bc99eca4e7e","2025-10-31T01:27:28.694Z","42","51","0.22","6:27pm PDT","Yes","Maker"
"Trade","KXNHLGAME-25OCT30VANSTL-STL","da8f98a3-13dc-41fa-a17c-f2a17914b246","2025-10-31T00:20:45.951Z","74","32","0.11","5:20pm PDT","Yes","Maker"
